"item","rmse","mae","BIAS","ratio_rmse","ratio_mae","ratio_bias"
"exact_q25","0.0815292439528627","0.0664387745043138","-0.0259407706956896","1","1","1"
"exact_q50","0.0661815684310972","0.041","-0.00500000000000003","1","1","1"
"exact_q75","0.0760536726054715","0.0619979634815684","0.0189407706956893","1","1","1"
"qr_q25","0.0849662604045455","0.0683204234345087","0.00565922930431042","1.04215685421626","1.02832154783458","-0.218159644163956"
"qr_q50","0.08","0.0556","0.0384","1.208795770431","1.35609756097561","-7.67999999999996"
"qr_q75","0.114227092418002","0.0961448706172568","0.0839407706956894","1.50192736924823","1.55077465803921","4.43175053667659"
"qr_cv_q25","0.0995155321166841","0.0811652895709816","-0.0589407706956896","1.22061149216863","1.22165542902528","2.27212874232312"
"qr_cv_q50","0.0779743547584718","0.0536","-0.0236","1.17818837792659","1.30731707317073","4.71999999999998"
"qr_cv_q75","0.0838005269518498","0.0677857174862743","0.0205407706956893","1.10186035836251","1.0933539374471","1.08447385936435"
