"item","rmse","mae"
"exact10","0.188846133837236","0.151034438352488"
"exact25","0.121080813377661","0.0966775490086276"
"exact50","0.0989949493661166","0.0716"
"exact75","0.137434771716422","0.106608155035295"
"exact90","0.243798864266084","0.183939263401202"
"nonexact10","0.496335127134216","0.255929613303775"
"nonexact25","0.178293935300836","0.117934696986666"
"nonexact50","0.143666279968544","0.1016"
"nonexact75","0.240338501713403","0.171016310070589"
"nonexact90","0.848316329776894","0.534057145588939"
"fullgmm10","0.764835294818159","0.664575027776676"
"fullgmm25","0.271243806065074","0.22129793211608"
"fullgmm50","0.162788205960997","0.1234"
"fullgmm75","0.342168553571506","0.280648948134904"
"fullgmm90","0.944913982011852","0.803217790203605"
"hdm10","0.31127878354956","0.238911639131906"
"hdm25","0.156215928401408","0.125436720062746"
"hdm50","0.116876002669496","0.0846"
"hdm75","0.149505820205547","0.116734688025098"
"hdm90","0.356760132751747","0.260873038742197"
