"grid","q10","q15","q20","q25","q30","q35","q40","q45","q50","q55","q60","q65","q70","q75","q80","q85","q90"
-0.3,117.927709465107,161.806394803284,176.658913257655,180.881921132904,154.926250507399,127.702212873999,94.2966995140344,77.0966547187792,66.7307468442991,50.7574360060319,49.1071748543324,51.5974938802125,42.8597431271912,37.985473721004,29.3553589490839,18.4697636431062,15.0112519607988
-0.295,117.836706566954,165.309602855068,174.158760307986,175.276668914359,155.012941594662,126.977362882254,90.6991580878738,74.8689776582967,63.6192729532226,50.8630396787501,48.3332068500001,50.992390736261,43.4007262613578,37.3055873925793,29.3943715687565,19.1448194123198,13.9620448343454
-0.29,117.741905766219,160.791763926893,170.072701639091,172.547172316439,151.405831888163,122.624998539974,87.7899036079283,74.7955237837257,61.0953048168833,51.6265607835989,49.5370234863659,50.616924339522,39.9310497630545,36.5639353050869,26.9994147215905,17.2513462163862,14.2446564943082
-0.285,117.643503051452,160.782605514031,169.416003455692,167.306579432518,151.183902594798,120.341098463662,87.6073668588382,73.2954232257464,60.5123721182022,51.0459501021474,46.4587142324655,50.5119607689591,41.3794023113653,36.0510587483496,26.5383451629758,17.4933382815997,13.891950927889
-0.28,117.541587794324,159.492480813473,169.074607628317,160.879963290292,149.879880387745,118.081137448306,83.8944544760157,68.9364252763494,59.056763970439,47.6297803356509,45.415661601193,47.728980094676,40.8998926566225,36.0038413754414,26.7750001866635,15.9370599341162,13.0361731944738
-0.275,117.436401997707,158.560241463928,165.167667971196,157.041657441377,147.66475275885,116.807181148203,79.381998811349,68.103207258484,57.8319789013436,47.3557967413673,48.246120909257,49.7078245571224,40.3031941238091,35.5255322548684,26.5295128124186,15.324953707909,12.2335890023016
-0.27,117.327763332368,157.341034899474,163.746687226342,154.889769690798,147.66882234064,115.534579743794,74.5048728543765,64.9091729116757,53.2527228187892,47.6809584726038,45.3828174417937,49.2353433412192,39.7681484728846,33.8660059473635,25.921203205177,14.547816771895,12.2430578185456
-0.265,117.215747495578,156.332903582411,162.034093060426,154.128329718069,143.307296572716,113.082661353886,73.3440263295745,64.4560634852115,56.8791274091406,45.7580759339238,41.6886400116199,47.9162405260355,38.6220342287245,32.2822891021291,25.9024380176971,14.5587708585701,11.9425410264879
-0.26,117.100969476495,152.597436997505,155.557449033934,151.453735252286,142.858941043258,110.281607119409,73.077835545129,62.1243118886261,57.379025483716,41.5367512886977,40.5878654278858,46.1978021861144,39.5918773722328,32.0929078164319,25.4887012898592,14.5031914785373,11.6046710761063
-0.255,116.98339696712,151.744248660485,150.630467254483,150.087765684702,142.263325517137,106.51568910387,71.5169263447612,61.5766523377017,56.4081995283121,45.4690932775337,40.4463130214287,46.8671353921167,38.269233187552,32.3828231017945,24.4530516632126,14.4901804807855,10.7078117607444
