"grid","q10","q15","q20","q25","q30","q35","q40","q45","q50","q55","q60","q65","q70","q75","q80","q85","q90"
-5000,32.3989784926913,1e+09,1e+09,1e+09,1e+09,1e+09,1e+09,1e+09,23.5300971486899,28.4398327594249,20.5557139646611,20.5587736714419,23.7038732848125,22.5195843224736,15.3381832218978,13.8075043595462,9.99696160944699
-4900,29.4326193470134,59.621161312862,1e+09,1e+09,1e+09,1e+09,34.089827121895,1e+09,25.7213806687441,25.7998928023705,20.0419706154166,20.5628065569128,20.9973515385836,21.1414708902919,17.1438148264106,15.2711208785047,5.12110876168472
-4800,36.0948726872804,60.9911425653177,1e+09,1e+09,1e+09,1e+09,1e+09,1e+09,23.1446919952763,23.8134657442677,20.3876180374898,19.8122965303649,20.9008687566599,17.473991759302,17.9095154722253,14.5514357554301,9.86356701995496
-4700,38.2349516441326,49.9104478880544,65.4086706321027,1e+09,1e+09,1e+09,1e+09,1e+09,22.408628145419,21.659123494084,19.9029140276484,19.7596864324996,20.9885592841644,21.7973125926877,14.5349400753289,11.9141405423832,7.46419388027242
-4600,1e+09,52.2797397275746,62.3554555010481,1e+09,1e+09,1e+09,1e+09,1e+09,22.3790683053922,25.1286246288199,19.8209587720873,17.6249434586567,19.5323181264627,1e+09,14.7288433158849,11.423436409099,4.23210803706674
-4500,1e+09,53.6012711784742,1e+09,1e+09,1e+09,1e+09,1e+09,1e+09,24.4493641326095,22.9642206365576,21.112318584219,15.9220605320688,17.6736098236943,16.8833704547438,16.206677144038,14.9202780836963,6.85831739201234
-4400,1e+09,52.0950463120338,1e+09,1e+09,1e+09,40.8284363705173,1e+09,23.5949133006125,18.7926447068185,20.1603580283697,17.4276044512155,18.8306173300695,17.7847987328143,16.6654551180734,14.4213278379968,13.6779401851474,5.41915183110506
-4300,32.0818286844414,49.6760574943077,1e+09,1e+09,1e+09,1e+09,1e+09,1e+09,21.013894857578,20.3620055737724,16.3199782501197,16.1376309159964,16.5604035038957,19.4586188344056,17.20371551459,11.7888803052555,7.41466891540024
-4200,36.7804049350131,54.4213983335682,1e+09,1e+09,1e+09,1e+09,1e+09,1e+09,20.787248665474,17.9210131425808,16.1417141330609,16.4171221669773,17.2159732031368,19.0270282241208,13.4666952928948,12.3897756523819,5.88312357364585
-4100,1e+09,50.1744340359464,53.9827717742586,1e+09,1e+09,34.2812934869437,1e+09,1e+09,17.1446527123607,17.3365507139405,20.6960588784609,17.7410142924442,15.4883764519258,17.365346730734,14.1909313225541,12.3461160546652,4.52190736183813
